Retirement_Age,Debt_Amount,Monthly_Savings,Loan_Default_Risk
58.5,2726.91,2098.28,0
68.2,4055.68,2515.92,0
57.4,20059.73,1257.22,1
72.7,14781.04,2133.53,0
67.4,2507.23,2444.82,0
69.9,9128.88,2041.14,0
64.2,19963.57,2532.74,0
41.9,1093.04,1741.36,1
83.7,15553.36,2704.67,0
58.1,3658.66,3149.45,0
81.1,16070.14,1818.58,0
69.7,3242.46,1777.25,0
54.1,929.03,2726.69,0
64.4,1149.35,2789.79,0
75.8,8584.4,1738.57,0
72.2,11066.38,1789.91,0
58.2,2737.55,1859.11,1
72.3,17436.32,1327.77,1
62.8,1103.43,1540.67,1
64.5,7485.36,1497.93,1
71.5,1894.63,1616.1,0
43.6,3706.33,1982.66,1
58.7,8577.33,2117.11,1
84.7,2885.65,2775.25,0
63.1,5107.85,1500.82,1
71.6,27107.11,2492.16,1
56.5,4055.1,1893.01,1
72.9,22088.9,1975.27,1
66.1,2088.81,2337.41,0
60,15302.4,1438.64,1
56.3,45701.31,2191.2,1
77,417.39,2083.23,0
68.3,3114.19,2246.23,0
69.7,16195.47,2144.58,0
71.5,6350.86,3227.65,0
47.3,12649.53,1681.13,1
61,3925.38,1734.5,1
77.6,8990.36,1688.43,0
55.8,6722.31,1722.26,1
43.8,32903.64,1681.31,1
54.7,10996.2,2594.51,0
80.2,12150.47,2710.25,0
69.8,4943.1,1714.63,0
52.3,4513.7,1583.82,1
72.1,4821.93,2235.71,0
60.6,13008.3,1723.89,1
57.3,4889.37,2316.47,0
74.3,11472.75,2101.46,0
65.6,97780.55,1242.13,1
72.6,23048.35,2773.75,0
75.2,5479.51,2897.94,0
67.5,34250.51,1693.61,1
77.5,4965.7,1806.15,0
48.7,702.22,2142.93,1
79.3,2417.03,2167.23,0
69.4,858.38,2329.27,0
63.7,5314.44,3005.1,0
50.6,8284.17,1911.53,1
79.4,60580.28,1600.85,1
53.4,11995.81,1310.34,1
64.9,6229.67,1634.53,1
74.8,21922.89,1983.44,1
60.4,570.57,2897.28,0
63,10750.82,1741.19,1
71,20435.69,2111.89,1
64.3,1374.3,1991.79,0
68.9,31968.45,2594.2,1
63.9,12163.51,3263.47,0
58.4,4922.91,1734.57,1
49.1,17315.17,1755.28,1
77.4,123603.16,2522.08,1
43.7,10079.3,2340.95,1
84.5,10914.69,2923.35,0
66.5,4669.31,2291.96,0
59.1,2922.48,1820.35,1
62.2,21947.38,2295.33,1
71.2,2900.68,2554.35,0
67.1,8829.73,2410.24,0
69.9,4567.91,2253.64,0
70.9,14397.01,2533.34,0
56.5,12093.15,2584.65,0
61.4,28142.83,2691.08,1
71.9,4393.93,2324.35,0
56,5861.44,1916.44,1
61.9,2503.6,2073.36,0
56.9,4754.51,2603.25,0
58.7,12743.3,1591.53,1
