employee_id,department,job_role,work_mode,marital_status,age,monthly_income,years_at_company,distance_from_home_km,num_projects,overtime_hours_per_month,satisfaction_survey_score,last_promotion_years_ago,manager_id,badge_color,desk_floor,parking_spot_assigned,attrition
900054,Marketing,Senior,Hybrid,Divorced,28,19506.4,12,11.03,3,18,1,7,3,5,3,0,1
900055,Marketing,Mid,Hybrid,Single,30,52931.86,14,8.3,6,14,2,4,37,2,2,0,1
900056,Engineering,Senior,Onsite,Single,58,75278.57,15,15.84,11,22,2,8,36,4,3,1,0
900057,Sales,Mid,Hybrid,Divorced,51,59976.73,16,3.62,1,18,2,1,16,2,2,1,0
900058,Sales,Junior,Onsite,Single,32,92102.25,1,4.55,3,9,5,9,39,1,9,0,1
900059,Marketing,Junior,Onsite,Single,34,59288.02,6,1.0,6,15,2,2,20,1,3,1,0
900060,Engineering,Junior,Onsite,Married,57,90825.14,22,17.03,4,15,1,7,9,2,9,0,0
900061,Engineering,Lead,Hybrid,Single,41,62235.44,13,2.75,1,19,4,4,38,2,1,1,1
900062,Marketing,Junior,Hybrid,Divorced,37,38527.03,5,1.83,7,20,5,2,22,5,5,1,1
900063,Support,Mid,Remote,Married,39,90120.61,5,1.0,11,14,4,8,16,1,9,1,0
900064,Sales,Mid,Onsite,Married,21,54866.27,8,1.0,1,9,2,5,13,5,8,1,1
900065,Support,Senior,Remote,Divorced,22,47006.28,6,9.13,11,8,2,5,5,2,7,1,1
900066,Sales,Senior,Onsite,Single,41,69658.31,15,1.0,4,18,4,2,20,4,2,0,0
900067,Support,Junior,Hybrid,Married,44,111368.89,9,6.24,9,20,4,9,2,4,3,1,1
900068,Engineering,Junior,Hybrid,Married,44,80726.41,12,4.09,10,18,3,4,36,4,6,1,0
900069,Sales,Mid,Onsite,Married,38,63541.92,19,6.75,5,22,4,1,11,2,4,1,0
900070,Marketing,Mid,Onsite,Single,23,71889.31,14,8.36,10,9,1,5,30,5,5,1,1
900071,Engineering,Mid,Remote,Single,35,47600.28,5,1.0,5,6,4,5,42,4,8,0,0
900072,HR,Senior,Onsite,Married,55,50580.65,2,1.52,4,18,3,6,35,2,9,1,0
900073,Sales,Junior,Onsite,Single,57,75681.72,21,34.42,7,7,3,5,24,4,8,0,1
900074,Support,Senior,Hybrid,Single,32,53826.16,21,1.0,11,12,5,5,36,5,7,1,0
900075,Sales,Lead,Onsite,Single,41,42715.68,13,7.53,5,9,4,8,29,4,4,0,1
900076,Engineering,Lead,Remote,Married,46,66483.35,18,1.0,4,11,2,0,31,4,5,0,0
900077,Engineering,Junior,Onsite,Divorced,42,76906.19,14,7.27,5,11,1,1,7,1,2,1,1
900078,Engineering,Junior,Hybrid,Married,38,47612.87,12,5.3,10,12,3,6,35,1,3,0,1
900079,Marketing,Mid,Onsite,Single,46,66492.07,19,2.36,10,14,1,5,21,1,4,0,0
900080,Sales,Senior,Onsite,Single,53,74579.95,3,4.8,11,11,1,0,16,3,5,0,1
900081,Sales,Mid,Hybrid,Married,51,73195.58,11,2.55,11,14,1,5,31,1,5,0,1
900082,Engineering,Junior,Onsite,Married,23,79472.72,15,17.45,4,14,3,9,39,1,1,1,0
900083,Support,Junior,Remote,Divorced,51,69139.24,22,1.04,1,15,3,2,26,1,4,1,1
900084,Engineering,Senior,Remote,Married,41,68965.21,14,1.0,11,14,2,2,24,2,6,0,0
900085,HR,Junior,Onsite,Single,59,75304.69,19,5.41,10,16,2,6,4,3,9,1,0
900086,Engineering,Junior,Onsite,Married,37,77140.33,0,20.12,1,11,1,3,31,2,9,0,1
900087,Engineering,Junior,Onsite,Single,28,65537.77,8,3.33,10,15,2,3,31,5,2,1,0
900088,Engineering,Junior,Onsite,Single,25,39495.79,17,12.0,9,11,3,2,39,3,7,0,0
900089,Engineering,Lead,Onsite,Single,37,82625.85,8,10.82,11,16,1,3,22,1,2,1,1
900090,Support,Senior,Hybrid,Single,36,76973.07,13,34.35,7,11,2,7,9,5,8,0,1
900091,Marketing,Senior,Hybrid,Single,42,86613.88,0,20.95,1,11,1,7,1,2,4,1,0
900092,HR,Senior,Remote,Married,28,86520.28,6,1.71,1,13,2,4,28,3,6,1,0
900093,HR,Junior,Onsite,Divorced,24,93235.4,0,27.07,1,15,3,7,20,1,4,1,0
900094,Sales,Junior,Onsite,Married,39,23964.34,20,11.64,5,20,4,4,19,3,5,1,0
900095,Sales,Senior,Hybrid,Married,40,77935.49,19,13.1,3,20,5,8,26,3,7,0,0
900096,HR,Junior,Remote,Married,48,53881.33,19,24.21,9,17,5,4,20,5,4,0,0
900097,Support,Mid,Hybrid,Single,34,53081.33,21,9.61,1,13,5,7,2,4,3,1,0
900098,Engineering,Lead,Hybrid,Single,39,38809.79,18,1.12,5,11,2,4,13,5,6,1,0
900099,Engineering,Lead,Hybrid,Married,28,92177.38,18,2.04,4,16,1,5,1,4,7,1,0
900100,Engineering,Junior,Hybrid,Single,58,45431.62,8,6.7,11,13,1,4,18,3,5,0,0
900101,Engineering,Senior,Remote,Divorced,25,88282.93,20,7.23,9,11,5,2,26,4,6,0,0
900102,Engineering,Mid,Onsite,Married,30,40216.14,16,5.58,10,15,3,4,36,1,3,1,0
900103,Sales,Lead,Hybrid,Single,35,71698.33,24,13.78,6,8,2,1,23,2,2,0,0
900104,Engineering,Mid,Hybrid,Married,28,56283.64,11,16.58,10,12,5,9,39,2,4,1,0
900105,Support,Senior,Onsite,Divorced,58,19293.71,7,14.79,3,30,1,8,30,4,6,0,0
900106,Engineering,Lead,Hybrid,Married,45,62206.52,21,4.42,6,15,3,6,20,5,9,0,0
900107,Support,Mid,Onsite,Divorced,38,69236.5,17,11.01,11,12,1,5,21,1,8,1,0
900108,HR,Senior,Remote,Single,57,31961.04,15,12.4,5,17,3,5,10,2,8,1,1
900109,Marketing,Mid,Hybrid,Single,46,89341.14,21,10.35,9,18,2,5,18,5,9,1,0
900110,Sales,Mid,Onsite,Married,22,38428.09,16,15.2,5,14,1,5,21,1,8,0,0
900111,Support,Junior,Hybrid,Single,50,44919.56,13,1.34,1,14,5,0,5,3,4,0,0
900112,Engineering,Senior,Onsite,Married,33,63890.05,3,1.44,5,12,3,8,23,1,2,0,0
900113,Engineering,Junior,Hybrid,Divorced,40,66044.95,20,6.17,5,14,4,7,41,4,5,0,0
900114,Support,Junior,Onsite,Married,55,75079.56,5,4.31,2,16,4,6,2,1,8,0,0
900115,Sales,Senior,Hybrid,Single,31,84678.4,4,8.57,6,15,4,4,32,3,6,1,0
900116,Engineering,Mid,Onsite,Single,21,76032.05,9,11.63,9,22,1,2,32,3,7,1,0
900117,Sales,Mid,Onsite,Married,44,51945.33,2,2.05,10,18,5,7,16,2,4,1,1
900118,Engineering,Mid,Onsite,Single,46,54101.85,4,6.03,8,19,5,8,27,2,8,0,0
900119,Support,Senior,Hybrid,Married,48,85431.72,4,13.85,10,17,3,4,31,2,7,0,0
900120,Support,Mid,Remote,Married,22,18000.0,22,14.48,7,17,3,1,10,1,8,1,1
900121,Engineering,Mid,Hybrid,Single,31,102494.42,8,3.79,4,11,5,0,34,4,2,1,0
900122,Marketing,Junior,Remote,Married,33,76107.43,3,1.0,8,11,3,9,6,2,5,0,1
900123,Marketing,Mid,Hybrid,Single,48,86615.2,22,27.15,7,15,5,4,44,5,4,1,0
900124,Marketing,Lead,Hybrid,Single,33,81478.24,23,6.14,2,16,4,3,8,1,2,0,0
900125,Engineering,Lead,Onsite,Divorced,29,89602.41,16,1.89,8,19,5,5,3,4,5,1,1
900126,Support,Junior,Onsite,Single,52,38514.03,19,3.22,7,13,3,8,22,5,7,0,0
900127,Support,Mid,Onsite,Single,43,66345.46,18,3.14,9,19,1,4,33,4,8,0,0
900128,Marketing,Mid,Onsite,Married,55,52893.02,12,1.0,4,17,2,5,27,4,7,1,0
900129,Sales,Junior,Hybrid,Married,43,78760.36,0,17.19,5,16,5,2,14,4,4,0,1
900130,Engineering,Senior,Hybrid,Married,48,90521.93,20,1.68,10,14,3,9,9,4,2,1,0
900131,Support,Lead,Hybrid,Married,44,45247.51,5,5.9,3,9,5,4,41,3,3,1,0
900132,HR,Senior,Onsite,Married,53,98241.08,9,10.37,8,11,2,5,34,3,5,1,0
900133,HR,Mid,Hybrid,Married,28,61330.46,19,1.33,4,15,2,1,20,3,2,1,0
900134,Engineering,Junior,Hybrid,Married,54,39360.86,23,2.04,8,16,3,8,3,5,5,0,1
900135,Marketing,Lead,Remote,Single,24,98522.49,24,2.87,2,20,2,1,14,5,6,1,0
900136,HR,Junior,Remote,Married,58,80104.87,23,11.62,9,20,2,4,30,1,1,0,0
900137,Engineering,Senior,Onsite,Single,27,77039.04,7,2.91,11,17,3,2,39,3,4,1,0
900138,Engineering,Junior,Hybrid,Single,47,92637.66,3,23.14,2,12,1,8,4,1,2,0,0
900139,Sales,Mid,Hybrid,Single,44,79898.82,8,1.0,7,13,2,9,21,5,7,0,1
900140,Sales,Junior,Hybrid,Single,55,63564.08,14,2.42,6,16,3,7,22,2,2,1,0
900141,Marketing,Junior,Onsite,Single,27,74092.08,12,40.93,1,14,3,0,9,4,8,1,1
900142,Engineering,Junior,Hybrid,Married,36,50575.08,6,31.55,10,13,2,1,3,4,9,0,1
900143,Support,Senior,Onsite,Married,45,75411.52,8,17.22,4,19,2,5,26,2,7,0,0
900144,Support,Mid,Remote,Married,28,18000.0,22,3.93,3,8,3,9,22,3,2,1,1
900145,Marketing,Senior,Onsite,Divorced,45,98638.03,21,1.29,8,22,3,0,16,2,9,1,0
900146,Sales,Junior,Remote,Single,51,65075.52,17,18.97,4,18,1,6,10,3,1,0,1
900147,Engineering,Mid,Hybrid,Married,39,53828.94,1,2.45,4,9,2,6,17,1,7,1,0
900148,Sales,Junior,Hybrid,Single,57,72695.59,11,18.67,6,16,4,5,41,4,7,1,1
900149,Support,Mid,Remote,Married,51,117720.59,2,10.81,3,11,4,3,6,4,7,1,0
900150,HR,Senior,Remote,Married,23,118868.15,19,2.69,8,11,2,7,40,1,8,1,0
900151,Engineering,Mid,Hybrid,Married,48,42350.08,17,18.58,4,15,3,2,39,3,1,0,0
900152,Support,Mid,Hybrid,Divorced,22,56581.01,6,14.53,2,15,1,5,13,5,2,1,0
900153,Support,Mid,Onsite,Single,55,82569.17,12,9.59,11,5,1,5,6,1,7,1,0
900154,Sales,Junior,Remote,Single,52,39227.19,23,10.0,5,16,4,6,38,3,7,0,0
900155,Engineering,Junior,Hybrid,Single,40,57206.01,5,11.66,11,13,2,2,17,3,1,0,0
900156,Engineering,Mid,Remote,Single,56,47219.44,24,1.0,1,21,2,5,1,5,4,0,1
900157,Marketing,Senior,Hybrid,Single,54,26484.42,19,8.76,11,13,4,9,42,5,4,1,0
900158,Marketing,Junior,Remote,Married,47,78650.54,6,2.1,9,11,4,8,17,2,9,1,0
900159,Engineering,Mid,Hybrid,Single,21,18859.76,6,9.15,5,20,3,7,37,4,3,0,1
900160,Marketing,Senior,Hybrid,Married,25,76044.96,21,1.31,5,16,4,7,37,2,9,1,0
900161,Sales,Mid,Remote,Married,34,71862.52,3,7.88,11,17,4,2,44,1,9,1,1
900162,Marketing,Mid,Onsite,Married,52,83155.95,22,7.27,9,20,2,2,35,3,9,0,1
900163,Engineering,Senior,Onsite,Married,59,49322.43,10,12.94,10,14,3,4,13,2,9,0,0
900164,Marketing,Mid,Hybrid,Single,59,82214.77,12,16.61,10,12,4,3,18,1,3,1,1
900165,Marketing,Mid,Onsite,Married,25,57464.72,23,2.13,1,10,4,7,18,1,4,0,0
900166,Support,Junior,Onsite,Divorced,41,76158.59,22,13.58,3,14,3,1,8,2,5,1,0
900167,Support,Junior,Remote,Single,43,67910.18,11,50.64,8,12,5,3,28,2,6,0,0
900168,HR,Lead,Hybrid,Married,44,83930.15,20,1.65,11,15,4,3,29,1,5,1,0
900169,Marketing,Junior,Onsite,Single,23,51732.4,9,18.58,10,14,5,1,38,5,3,0,0
900170,Engineering,Senior,Hybrid,Single,40,54008.35,19,8.8,6,17,2,2,5,1,5,1,0
900171,Engineering,Mid,Hybrid,Single,53,79900.63,13,6.16,7,22,3,2,37,3,8,0,0
900172,HR,Lead,Hybrid,Married,36,54706.53,16,2.17,7,9,5,5,23,5,3,1,0
900173,Support,Mid,Hybrid,Single,38,43133.13,2,4.19,11,16,5,5,42,1,4,0,0
900174,Support,Mid,Onsite,Single,29,48670.96,21,6.79,7,11,1,4,7,2,1,1,1
900175,Sales,Mid,Remote,Married,50,46859.84,15,8.52,8,17,5,7,10,5,2,1,0
900176,Support,Junior,Hybrid,Single,24,83390.25,23,4.16,6,14,2,8,38,1,8,0,1
900177,HR,Mid,Hybrid,Single,36,81151.74,23,1.83,8,19,4,5,25,4,8,1,0
900178,Engineering,Senior,Remote,Single,48,69492.19,7,2.75,3,8,4,5,38,4,6,1,0
900179,HR,Mid,Hybrid,Single,52,86679.75,0,3.03,1,14,1,4,15,3,5,1,1
900180,HR,Mid,Hybrid,Single,45,52665.32,12,2.4,1,16,1,2,39,4,4,0,1
900181,Support,Senior,Onsite,Divorced,30,56038.94,14,44.17,6,23,5,3,25,3,3,1,0
900182,Sales,Lead,Hybrid,Single,49,75761.65,17,2.86,7,10,3,4,11,3,3,0,1
900183,Engineering,Lead,Onsite,Single,57,71470.75,10,10.6,3,20,3,6,18,2,3,0,0
900184,Engineering,Senior,Hybrid,Married,26,18361.81,8,1.0,2,16,3,5,33,5,6,1,0
900185,Support,Mid,Hybrid,Single,34,31936.67,13,2.02,7,14,2,2,35,4,6,0,0
900186,Engineering,Junior,Hybrid,Married,25,68556.15,10,11.68,10,18,1,1,5,4,8,0,0
900187,Engineering,Senior,Hybrid,Single,28,84544.58,4,7.35,5,12,4,8,14,1,4,0,0
900188,Sales,Junior,Onsite,Married,23,91138.6,2,5.66,4,8,3,0,26,2,5,0,0
900189,Engineering,Mid,Onsite,Single,58,63626.8,10,9.31,11,14,1,7,23,2,9,1,0
900190,Marketing,Mid,Hybrid,Single,47,81678.89,5,1.66,9,16,1,1,32,4,3,1,0
900191,Engineering,Senior,Onsite,Single,48,47128.05,9,1.0,6,14,3,4,39,5,1,0,1
900192,Support,Junior,Hybrid,Married,45,34210.53,24,23.52,11,15,4,4,37,5,3,0,1
900193,Marketing,Mid,Hybrid,Married,31,18000.0,6,14.7,6,11,3,2,8,4,1,1,0
900194,Sales,Junior,Remote,Single,24,63749.79,17,2.16,9,15,1,3,44,4,4,0,0
900195,Marketing,Mid,Hybrid,Single,41,45217.37,5,3.35,11,19,5,8,26,2,1,1,1
900196,Engineering,Junior,Hybrid,Married,55,117701.92,9,3.64,9,12,4,8,30,3,8,0,0
900197,Engineering,Junior,Onsite,Single,55,115837.47,1,6.89,9,25,4,3,35,4,7,1,0
900198,HR,Mid,Onsite,Married,58,74877.13,10,1.2,5,13,3,0,15,3,3,1,0
900199,Support,Lead,Onsite,Married,30,69110.98,6,19.21,7,10,5,2,14,1,9,1,1
900200,Engineering,Mid,Remote,Divorced,40,63119.81,11,15.75,5,9,3,0,44,5,1,0,0
900201,HR,Senior,Remote,Single,51,37593.43,23,2.42,5,15,4,7,14,5,6,0,0
900202,Support,Mid,Onsite,Single,52,37020.34,23,12.98,4,11,3,0,24,2,7,1,0
900203,Sales,Junior,Onsite,Single,59,83035.23,21,7.37,1,15,1,0,16,1,8,0,1
900204,Engineering,Junior,Hybrid,Divorced,43,82713.09,20,24.81,9,18,1,5,31,2,9,0,0
900205,Sales,Lead,Hybrid,Married,46,45394.06,23,17.14,2,12,2,8,14,1,6,0,0
900206,Engineering,Mid,Hybrid,Single,30,98369.54,20,5.57,1,19,3,8,19,4,9,0,0
900207,HR,Senior,Onsite,Married,51,110280.61,0,15.46,9,20,4,5,37,5,1,0,0
900208,Engineering,Junior,Onsite,Single,33,44211.16,14,19.74,5,6,5,9,35,1,9,1,0
900209,Support,Senior,Onsite,Married,49,69702.37,1,10.02,1,19,5,7,40,3,4,0,0
900210,HR,Senior,Onsite,Married,51,77655.04,10,9.53,4,24,3,3,14,3,1,1,0
900211,Engineering,Senior,Onsite,Single,41,124171.4,5,5.22,9,21,3,6,7,1,2,0,0
900212,Engineering,Mid,Onsite,Married,54,35917.57,16,1.08,2,16,5,7,10,2,5,1,1
900213,Marketing,Junior,Hybrid,Single,53,78244.52,3,17.32,4,21,1,9,40,2,1,0,1
900214,Support,Junior,Onsite,Divorced,42,78683.57,22,7.54,7,19,1,8,1,5,3,1,1
900215,Support,Mid,Hybrid,Single,48,79304.24,13,5.07,7,24,2,9,15,4,9,0,1
900216,Marketing,Mid,Remote,Divorced,33,68460.04,2,4.43,4,16,2,3,16,1,1,0,1
900217,Support,Mid,Onsite,Married,59,58830.22,6,8.4,2,12,1,1,25,2,5,1,0
900218,Support,Senior,Onsite,Married,54,35406.99,23,1.0,8,16,1,4,16,5,3,1,0
900219,Marketing,Junior,Onsite,Married,54,91364.63,14,24.7,3,13,4,1,29,2,2,1,1
900220,Sales,Mid,Remote,Married,21,104916.2,14,7.41,3,17,1,0,35,5,1,0,0
900221,Engineering,Mid,Hybrid,Divorced,56,57326.64,22,1.23,9,7,4,5,10,1,5,0,0
900222,Engineering,Junior,Onsite,Married,56,65621.81,17,3.38,6,12,2,0,37,4,8,1,1
900223,Engineering,Mid,Hybrid,Married,26,38530.6,1,21.79,8,18,1,1,28,4,3,1,0
900224,Marketing,Senior,Hybrid,Single,43,89126.37,11,6.93,2,8,4,0,37,4,4,0,0
900225,Sales,Junior,Hybrid,Divorced,27,67633.88,14,7.75,7,12,5,8,5,2,3,1,0
900226,HR,Senior,Hybrid,Single,28,73052.48,13,7.7,5,12,3,4,32,5,9,0,0
900227,HR,Senior,Onsite,Divorced,50,66355.05,14,2.66,5,18,4,4,32,3,7,0,0
900228,Support,Junior,Hybrid,Single,33,90527.99,17,6.01,6,13,2,4,34,4,9,1,0
900229,Support,Junior,Remote,Divorced,45,50932.55,21,1.68,11,18,3,6,24,3,1,1,0
900230,Sales,Junior,Onsite,Single,22,91314.73,24,22.0,1,17,2,1,40,4,9,0,0
900231,Sales,Senior,Hybrid,Married,29,148676.68,23,8.89,6,13,4,2,32,1,9,1,0
900232,Support,Lead,Hybrid,Single,26,53318.7,6,13.98,3,19,4,4,20,4,7,1,1
900233,Marketing,Mid,Onsite,Single,49,41704.56,14,2.15,9,10,2,0,38,3,6,1,1
900234,Engineering,Senior,Hybrid,Married,33,57831.2,0,8.55,1,9,3,7,25,4,2,0,0
900235,Engineering,Mid,Remote,Divorced,26,101190.62,10,4.35,7,14,4,1,6,3,5,1,0
900236,Engineering,Mid,Remote,Single,22,91261.03,6,1.0,9,16,4,3,8,5,5,0,0
900237,Engineering,Mid,Onsite,Single,28,68525.45,2,21.4,7,14,4,3,26,2,8,0,0
900238,Support,Junior,Hybrid,Single,29,18000.0,8,5.53,6,16,1,5,33,4,6,0,1
900239,Sales,Mid,Hybrid,Divorced,50,102571.55,24,4.48,6,17,4,5,28,3,8,1,0
900240,Support,Junior,Onsite,Single,58,81629.5,4,12.18,7,18,4,9,33,2,8,1,1
900241,Sales,Junior,Remote,Married,41,45103.4,17,1.32,11,13,1,3,17,3,3,0,0
900242,Engineering,Mid,Hybrid,Single,40,70030.83,23,2.41,8,12,3,2,31,4,7,0,0
900243,Sales,Junior,Onsite,Married,42,49184.8,23,19.51,4,17,5,2,32,5,9,0,1
900244,Marketing,Junior,Hybrid,Single,58,61102.32,20,11.21,2,14,2,7,14,1,6,0,1
900245,Support,Senior,Onsite,Married,45,61341.03,21,3.83,1,21,5,8,32,3,1,0,0
900246,Sales,Mid,Remote,Single,36,60935.74,22,13.89,10,15,3,9,44,2,8,1,0
900247,Support,Junior,Remote,Divorced,30,65221.55,23,1.66,3,32,3,1,26,5,7,1,0
900248,Support,Senior,Onsite,Married,25,65555.37,12,1.0,2,12,5,1,17,1,3,1,0
900249,Marketing,Junior,Hybrid,Single,46,53017.72,12,6.7,3,15,2,7,18,5,6,1,1
900250,Sales,Mid,Hybrid,Single,58,59893.33,4,2.49,1,12,5,6,39,5,9,0,0
900251,Engineering,Mid,Remote,Married,22,55168.52,14,17.77,10,9,2,6,28,4,4,1,0
900252,Support,Mid,Remote,Married,24,59133.54,3,11.98,5,14,3,1,34,1,6,1,1
900253,Support,Junior,Hybrid,Divorced,26,45075.28,19,10.85,2,17,4,4,16,3,8,1,1
900254,Sales,Junior,Hybrid,Divorced,51,89346.32,11,2.43,10,17,2,5,22,1,2,1,1
900255,HR,Mid,Remote,Single,36,67443.84,6,2.5,6,24,4,6,22,4,6,0,0
900256,Support,Mid,Remote,Single,28,65708.48,12,25.38,10,20,1,3,44,1,2,1,1
900257,Marketing,Mid,Hybrid,Single,36,36334.1,15,10.48,4,17,5,6,5,2,8,0,0
900258,Engineering,Mid,Remote,Single,58,70828.81,14,15.26,2,16,5,7,11,3,9,0,0
900259,HR,Senior,Hybrid,Married,28,92752.63,8,8.54,4,15,5,7,14,4,9,0,0
900260,Engineering,Junior,Hybrid,Divorced,27,95352.23,10,6.32,7,21,4,2,43,2,4,1,0
900261,Engineering,Lead,Hybrid,Divorced,47,101372.04,0,6.8,1,16,3,4,22,5,9,1,0
900262,Engineering,Lead,Onsite,Divorced,55,52097.29,11,1.0,6,11,3,0,11,4,1,0,0
900263,Marketing,Junior,Onsite,Single,35,68082.52,5,4.39,1,8,2,4,37,3,4,1,1
900264,Sales,Junior,Hybrid,Single,33,45491.3,19,36.31,8,21,3,2,2,3,1,1,1
900265,HR,Junior,Hybrid,Divorced,55,18261.71,15,1.62,10,15,5,8,21,4,7,1,0
900266,Support,Mid,Onsite,Single,45,58960.33,24,6.24,6,18,5,4,24,5,7,1,1
900267,Support,Lead,Hybrid,Married,30,84819.16,4,1.0,9,13,4,2,43,1,1,0,0
900268,Marketing,Junior,Hybrid,Single,42,86493.19,2,55.34,10,18,4,6,23,3,3,0,1
900269,Marketing,Junior,Hybrid,Single,34,69627.12,18,22.64,11,18,1,5,34,3,9,1,0
900270,Sales,Junior,Onsite,Married,23,100562.18,18,9.63,1,17,4,1,21,5,8,1,0
